epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.80404,0.30132,0.24896,0.93315,0.8161,0.76169,0.85099,0.67891,0.57839,0.60918,1.11747,0.000547118,0.000547118,0.000547118
2,18.7632,0.3219,0.2624,0.9375,0.91988,0.71781,0.84307,0.65292,0.6046,0.62406,1.13126,0.00109187,0.00109187,0.00109187
3,27.5226,0.34793,0.27542,0.9548,0.81535,0.75242,0.82751,0.63517,0.61324,0.61766,1.15088,0.00162561,0.00162561,0.00162561
4,36.3646,0.36212,0.29059,0.96682,0.87514,0.75718,0.82653,0.62527,0.64831,0.6701,1.18302,0.00161749,0.00161749,0.00161749
5,45.1839,0.3852,0.30645,0.98009,0.94214,0.67327,0.83227,0.66258,0.65154,0.66367,1.2012,0.00160099,0.00160099,0.00160099
6,53.8476,0.36647,0.30221,0.96426,0.87873,0.76566,0.82923,0.63375,0.64678,0.67401,1.1838,0.00158448,0.00158448,0.00158448
7,62.4847,0.39012,0.32536,0.97742,0.92225,0.72538,0.81126,0.62622,0.62958,0.63717,1.15434,0.00156798,0.00156798,0.00156798
8,71.1793,0.40708,0.33258,0.97901,0.89219,0.7517,0.84554,0.63197,0.64465,0.60663,1.16269,0.00155148,0.00155148,0.00155148
9,79.8556,0.38987,0.32142,0.98715,0.91592,0.70037,0.84529,0.65495,0.64826,0.60877,1.17876,0.00153497,0.00153497,0.00153497
10,88.4889,0.39963,0.32167,0.97859,0.84764,0.71421,0.79189,0.62223,0.6813,0.75163,1.21693,0.00151847,0.00151847,0.00151847
11,97.2323,0.37209,0.31111,0.96637,0.85124,0.71959,0.827,0.63763,0.65013,0.6157,1.16963,0.00150197,0.00150197,0.00150197
12,105.887,0.39449,0.32438,0.9843,0.86386,0.71138,0.83434,0.63774,0.64821,0.60775,1.17229,0.00148546,0.00148546,0.00148546
13,114.611,0.3945,0.32142,0.98413,0.83346,0.77578,0.85225,0.65663,0.62318,0.59171,1.13932,0.00146896,0.00146896,0.00146896
14,123.301,0.41576,0.33375,0.99418,0.80434,0.81366,0.84297,0.63463,0.65778,0.6152,1.17291,0.00145246,0.00145246,0.00145246
15,131.98,0.39496,0.31247,0.98362,0.90822,0.67107,0.85268,0.62071,0.68376,0.66913,1.21307,0.00143595,0.00143595,0.00143595
16,140.664,0.39921,0.32043,0.98097,0.83738,0.76037,0.82437,0.60059,0.66142,0.63568,1.19211,0.00141945,0.00141945,0.00141945
17,149.313,0.38589,0.31687,0.97685,0.85306,0.7517,0.83477,0.63635,0.62717,0.59611,1.14366,0.00140295,0.00140295,0.00140295
18,158.037,0.38291,0.3199,0.98326,0.85822,0.75821,0.83567,0.65553,0.60469,0.60669,1.13467,0.00138644,0.00138644,0.00138644
19,166.695,0.405,0.32604,0.98271,0.84339,0.77857,0.84465,0.64977,0.63789,0.63505,1.1609,0.00136994,0.00136994,0.00136994
20,175.426,0.3937,0.32526,0.98156,0.89215,0.71018,0.82083,0.63996,0.63154,0.69888,1.16951,0.00135344,0.00135344,0.00135344
21,184.171,0.37377,0.30613,0.97424,0.88096,0.76514,0.85556,0.65019,0.62295,0.57071,1.14183,0.00133693,0.00133693,0.00133693
