epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0012,0.85068,1.9882,1.33662,0.92285,0.30913,0.36971,0.22523,1.22784,2.23213,1.99423,0.000547118,0.000547118,0.000547118
2,19.1501,0.8887,1.39742,1.35207,0.6038,0.3443,0.4332,0.27009,1.14328,1.82842,1.78546,0.00109842,0.00109842,0.00109842
3,28.1598,0.92872,1.29273,1.37127,0.50166,0.65073,0.5961,0.3586,1.2008,2.06671,1.90731,0.00164532,0.00164532,0.00164532
4,37.0726,0.91255,1.19118,1.38009,0.66987,0.45214,0.51261,0.30898,1.16361,1.9384,1.73,0.0016472,0.0016472,0.0016472
5,45.9853,0.90053,1.14089,1.36942,0.75591,0.49951,0.64219,0.38684,1.22728,1.43987,1.79057,0.00164059,0.00164059,0.00164059
6,54.813,0.86336,1.03517,1.33716,0.63835,0.53813,0.59016,0.37093,1.1754,1.39683,1.64879,0.00163399,0.00163399,0.00163399
7,63.6408,0.84349,0.99151,1.31703,0.6765,0.65853,0.64638,0.40852,1.1092,1.25243,1.6192,0.00162739,0.00162739,0.00162739
8,72.464,0.85587,0.96372,1.29981,0.78245,0.66692,0.70802,0.4308,1.08841,1.1328,1.69952,0.00162079,0.00162079,0.00162079
9,81.3148,0.83649,0.91358,1.31891,0.8112,0.57167,0.70908,0.46885,0.98583,1.09969,1.49192,0.00161419,0.00161419,0.00161419
10,90.1414,0.79693,0.8653,1.26672,0.76491,0.7269,0.79473,0.5009,1.01765,0.97212,1.52748,0.00160759,0.00160759,0.00160759
11,98.9586,0.78531,0.8204,1.25812,0.74099,0.62542,0.71384,0.47397,0.93964,1.02543,1.47025,0.00160099,0.00160099,0.00160099
12,107.726,0.76049,0.8043,1.24571,0.78163,0.58092,0.67573,0.48784,0.89012,0.98867,1.40541,0.00159439,0.00159439,0.00159439
13,116.453,0.75653,0.79986,1.25125,0.70737,0.67038,0.74449,0.5186,0.92218,0.93859,1.44717,0.00158778,0.00158778,0.00158778
14,125.296,0.74571,0.77433,1.25079,0.76896,0.69064,0.75253,0.52233,0.88761,0.87655,1.43363,0.00158118,0.00158118,0.00158118
15,134.201,0.72972,0.73286,1.23103,0.75588,0.60496,0.68862,0.47255,0.93425,0.91744,1.46174,0.00157458,0.00157458,0.00157458
16,143.079,0.7392,0.75697,1.23461,0.83388,0.62362,0.76088,0.52398,0.82211,0.82174,1.35902,0.00156798,0.00156798,0.00156798
17,151.923,0.7194,0.7137,1.21998,0.67541,0.75041,0.7158,0.50044,0.85019,0.84948,1.37781,0.00156138,0.00156138,0.00156138
18,160.942,0.70422,0.71617,1.21509,0.80181,0.74024,0.77986,0.54597,0.85979,0.80142,1.35761,0.00155478,0.00155478,0.00155478
19,170.087,0.72961,0.72441,1.21658,0.71922,0.71761,0.73124,0.50065,0.88339,0.87855,1.41269,0.00154818,0.00154818,0.00154818
20,179.153,0.70825,0.70438,1.2113,0.7503,0.69152,0.72907,0.53137,0.80358,0.8032,1.31942,0.00154157,0.00154157,0.00154157
21,187.937,0.6806,0.67466,1.19353,0.81059,0.71426,0.80088,0.5765,0.82307,0.81021,1.3318,0.00153497,0.00153497,0.00153497
22,196.696,0.71427,0.69827,1.21309,0.70518,0.79715,0.79299,0.54847,0.87902,0.82883,1.39572,0.00152837,0.00152837,0.00152837
23,205.452,0.68067,0.65306,1.19915,0.7743,0.73642,0.78369,0.53352,0.87425,0.84824,1.33783,0.00152177,0.00152177,0.00152177
24,214.242,0.65685,0.64402,1.17916,0.80743,0.77551,0.81296,0.58111,0.77522,0.71081,1.28199,0.00151517,0.00151517,0.00151517
25,223.14,0.6782,0.64752,1.18469,0.80728,0.75783,0.80607,0.57859,0.76036,0.7481,1.27856,0.00150857,0.00150857,0.00150857
26,231.998,0.67649,0.65688,1.19157,0.90503,0.68826,0.81637,0.57852,0.8138,0.73912,1.323,0.00150197,0.00150197,0.00150197
27,240.855,0.6734,0.63568,1.16805,0.7208,0.74646,0.7601,0.53283,0.8373,0.85611,1.34616,0.00149537,0.00149537,0.00149537
28,249.593,0.66442,0.62125,1.18047,0.83833,0.74439,0.8151,0.59555,0.75764,0.74558,1.2469,0.00148876,0.00148876,0.00148876
29,258.433,0.63852,0.61778,1.16857,0.85755,0.68965,0.79688,0.56713,0.80907,0.7896,1.30354,0.00148216,0.00148216,0.00148216
