epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.635,0.78397,1.8477,1.29195,0.95568,0.33402,0.41112,0.29925,0.99444,2.6081,1.53962,0.000547118,0.000547118,0.000547118
2,331.68,0.86046,1.37987,1.32145,0.45214,0.43856,0.47271,0.29963,1.16072,2.57768,1.70045,0.00108823,0.00108823,0.00108823
3,492.86,0.89192,1.3087,1.35698,0.6708,0.4602,0.55011,0.33477,1.21552,2.0322,1.90413,0.00161467,0.00161467,0.00161467
4,653.689,0.87651,1.17274,1.3349,0.54623,0.44637,0.45004,0.27401,1.29724,2.16333,1.83921,0.00160099,0.00160099,0.00160099
5,814.163,0.897,1.10703,1.33993,0.73268,0.57492,0.62969,0.42342,1.10898,1.51343,1.72029,0.00157898,0.00157898,0.00157898
6,973.698,0.86236,1.00332,1.29427,0.72706,0.56851,0.66134,0.40599,1.15999,1.62064,1.64272,0.00155698,0.00155698,0.00155698
7,1133.02,0.8473,0.97244,1.31555,0.6188,0.64022,0.63955,0.40935,1.06548,1.37512,1.58412,0.00153497,0.00153497,0.00153497
8,1292.59,0.81431,0.91022,1.29412,0.70586,0.63831,0.70104,0.46521,1.07077,1.26123,1.63413,0.00151297,0.00151297,0.00151297
9,1452.74,0.80651,0.87697,1.27142,0.76196,0.66505,0.71767,0.49418,0.90999,1.12303,1.3824,0.00149096,0.00149096,0.00149096
10,1625.94,0.76174,0.8256,1.23691,0.73269,0.61211,0.68137,0.49409,0.85271,1.01255,1.36522,0.00146896,0.00146896,0.00146896
11,1800.69,0.74607,0.79706,1.24789,0.74081,0.73038,0.76925,0.53459,0.89171,1.02071,1.41796,0.00144696,0.00144696,0.00144696
12,1974.76,0.76055,0.80199,1.2558,0.62671,0.75564,0.7361,0.50511,0.86662,1.00365,1.35444,0.00142495,0.00142495,0.00142495
13,2149.18,0.74842,0.76512,1.24111,0.68565,0.76262,0.75781,0.52844,0.87501,1.07585,1.38137,0.00140295,0.00140295,0.00140295
14,2323.91,0.74752,0.7769,1.21869,0.74862,0.6682,0.71056,0.48845,0.91462,0.95531,1.39913,0.00138094,0.00138094,0.00138094
15,2489.78,0.70328,0.72803,1.20111,0.70412,0.72077,0.75822,0.5487,0.77866,0.89995,1.30754,0.00135894,0.00135894,0.00135894
16,2649.64,0.69007,0.72647,1.1915,0.79191,0.67103,0.78374,0.56473,0.80572,0.85294,1.33952,0.00133693,0.00133693,0.00133693
17,2817.8,0.68608,0.7016,1.19362,0.69729,0.74611,0.78508,0.53593,0.8296,0.89221,1.34684,0.00131493,0.00131493,0.00131493
18,2993.54,0.69186,0.68114,1.21045,0.69892,0.62875,0.71295,0.49821,0.86299,0.9203,1.34734,0.00129293,0.00129293,0.00129293
19,3167.42,0.69244,0.68895,1.19388,0.76626,0.71877,0.77555,0.54246,0.78023,0.81559,1.29485,0.00127092,0.00127092,0.00127092
20,3342.18,0.6813,0.6492,1.20561,0.69363,0.74316,0.74814,0.50774,0.89837,0.93358,1.38547,0.00124892,0.00124892,0.00124892
21,3516.38,0.68191,0.66333,1.18514,0.8187,0.75476,0.81146,0.59519,0.80049,0.81149,1.29872,0.00122691,0.00122691,0.00122691
22,3692.9,0.68486,0.65526,1.18018,0.76735,0.79373,0.78496,0.56533,0.79185,0.76778,1.31448,0.00120491,0.00120491,0.00120491
23,3866.5,0.65557,0.62271,1.15914,0.84091,0.7765,0.80938,0.55929,0.86461,0.82566,1.3599,0.0011829,0.0011829,0.0011829
24,4040.02,0.6491,0.61616,1.15438,0.85385,0.62738,0.79604,0.54993,0.81194,0.80594,1.31329,0.0011609,0.0011609,0.0011609
25,4214.69,0.63509,0.6028,1.16986,0.86043,0.72511,0.81011,0.57026,0.80182,0.76409,1.29852,0.00113889,0.00113889,0.00113889
26,4388.11,0.6231,0.5967,1.14163,0.80436,0.80247,0.82858,0.59244,0.82017,0.74982,1.29867,0.00111689,0.00111689,0.00111689
27,4562.73,0.64037,0.60582,1.15482,0.80268,0.75357,0.78321,0.56086,0.74788,0.75193,1.24753,0.00109489,0.00109489,0.00109489
28,4737.11,0.60647,0.59417,1.14758,0.83743,0.68603,0.82244,0.59437,0.75729,0.74316,1.25888,0.00107288,0.00107288,0.00107288
29,4914.18,0.63127,0.59834,1.15327,0.79173,0.70318,0.7639,0.56052,0.7407,0.74754,1.2549,0.00105088,0.00105088,0.00105088
30,5089.63,0.59639,0.57479,1.14258,0.7276,0.70002,0.75558,0.51841,0.81489,0.77925,1.3343,0.00102887,0.00102887,0.00102887
31,5263.17,0.59202,0.55453,1.11582,0.7821,0.77622,0.82104,0.58555,0.74043,0.70844,1.23358,0.00100687,0.00100687,0.00100687
