epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.57587,0.34552,0.27871,0.95553,0.89441,0.75792,0.8441,0.65411,0.59865,0.56532,1.12602,0.000547118,0.000547118,0.000547118
2,18.3958,0.36185,0.29729,0.96295,0.84652,0.70714,0.85108,0.65747,0.63319,0.63824,1.15508,0.00109187,0.00109187,0.00109187
3,27.2179,0.39262,0.31506,0.98043,0.79559,0.80406,0.82167,0.62571,0.65041,0.61461,1.19419,0.00162561,0.00162561,0.00162561
4,35.9483,0.40894,0.32661,0.99472,0.86944,0.75161,0.81292,0.60363,0.69031,0.65912,1.21978,0.00161749,0.00161749,0.00161749
5,44.7005,0.4178,0.33304,1.00389,0.77285,0.71329,0.79302,0.60217,0.66374,0.67631,1.19832,0.00160099,0.00160099,0.00160099
6,53.4268,0.40316,0.33423,0.9902,0.82813,0.72967,0.82659,0.62266,0.65939,0.71324,1.17369,0.00158448,0.00158448,0.00158448
7,62.1726,0.42213,0.34933,0.99942,0.86494,0.71849,0.81599,0.61468,0.67022,0.64693,1.19527,0.00156798,0.00156798,0.00156798
8,71.0247,0.43587,0.35749,0.99519,0.84353,0.73597,0.8242,0.64786,0.63268,0.61548,1.16261,0.00155148,0.00155148,0.00155148
9,79.9176,0.43088,0.35733,1.01153,0.89183,0.70429,0.83357,0.64408,0.63939,0.60541,1.14375,0.00153497,0.00153497,0.00153497
10,88.5981,0.44202,0.356,1.00237,0.89461,0.72383,0.83404,0.64121,0.65383,0.63569,1.17541,0.00151847,0.00151847,0.00151847
11,97.1938,0.41302,0.34363,0.9854,0.84939,0.74755,0.81533,0.61391,0.64739,0.58829,1.15099,0.00150197,0.00150197,0.00150197
12,105.866,0.42211,0.34759,1.00005,0.83548,0.7765,0.82857,0.66315,0.62875,0.61573,1.14349,0.00148546,0.00148546,0.00148546
13,114.579,0.41912,0.33909,0.99886,0.83641,0.7414,0.79801,0.60353,0.67528,0.63439,1.18005,0.00146896,0.00146896,0.00146896
14,123.313,0.42832,0.34357,1.00481,0.81073,0.77503,0.8482,0.64772,0.64505,0.59512,1.17663,0.00145246,0.00145246,0.00145246
