epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0864,0.30538,0.25159,0.93437,0.83657,0.75106,0.83678,0.65907,0.5765,0.63793,1.12424,0.000547118,0.000547118,0.000547118
2,19.1572,0.32695,0.26673,0.94103,0.88399,0.69697,0.83031,0.66081,0.58482,0.63296,1.13669,0.00109187,0.00109187,0.00109187
3,28.1137,0.34501,0.27937,0.95404,0.85194,0.75111,0.8196,0.65084,0.58043,0.59109,1.12045,0.00162561,0.00162561,0.00162561
4,37.0279,0.36626,0.29726,0.96811,0.83311,0.75423,0.79659,0.61062,0.6609,0.6561,1.186,0.00161749,0.00161749,0.00161749
5,46.0155,0.38185,0.30615,0.9787,0.79237,0.7388,0.79388,0.60865,0.6487,0.65628,1.16654,0.00160099,0.00160099,0.00160099
6,54.83,0.36716,0.30275,0.96681,0.86846,0.73086,0.82506,0.63584,0.63469,0.61004,1.15105,0.00158448,0.00158448,0.00158448
7,63.5098,0.37973,0.30833,0.97325,0.87277,0.64857,0.79868,0.61321,0.66016,0.68649,1.18906,0.00156798,0.00156798,0.00156798
8,72.2654,0.397,0.32042,0.97162,0.83277,0.74595,0.81268,0.62658,0.63879,0.58581,1.15912,0.00155148,0.00155148,0.00155148
9,81.0801,0.39985,0.32689,0.99322,0.87976,0.72558,0.80683,0.62625,0.60555,0.60196,1.11574,0.00153497,0.00153497,0.00153497
10,89.8819,0.39249,0.31608,0.97513,0.91892,0.69121,0.82616,0.62265,0.65533,0.64206,1.17025,0.00151847,0.00151847,0.00151847
11,98.7022,0.37242,0.30381,0.96142,0.86844,0.70516,0.80455,0.6204,0.63644,0.62975,1.15217,0.00150197,0.00150197,0.00150197
12,107.425,0.38989,0.31865,0.98134,0.86976,0.76306,0.81526,0.63324,0.61351,0.60647,1.13159,0.00148546,0.00148546,0.00148546
13,116.038,0.38244,0.31061,0.97612,0.8459,0.77309,0.81603,0.62217,0.65351,0.59767,1.15651,0.00146896,0.00146896,0.00146896
14,124.662,0.38174,0.31111,0.97664,0.88826,0.7408,0.81099,0.62837,0.6251,0.56915,1.15077,0.00145246,0.00145246,0.00145246
15,133.317,0.38849,0.307,0.98196,0.86681,0.7257,0.79671,0.58239,0.69909,0.63141,1.21945,0.00143595,0.00143595,0.00143595
16,141.949,0.39763,0.31984,0.9813,0.85309,0.76148,0.81214,0.60584,0.65308,0.64572,1.18016,0.00141945,0.00141945,0.00141945
17,150.584,0.38954,0.31557,0.97899,0.81616,0.75585,0.80971,0.62318,0.62136,0.63236,1.12991,0.00140295,0.00140295,0.00140295
18,159.243,0.38135,0.3168,0.98512,0.82166,0.77956,0.82248,0.63472,0.60661,0.59876,1.12433,0.00138644,0.00138644,0.00138644
19,167.892,0.39917,0.31926,0.97971,0.82424,0.72945,0.82619,0.63403,0.62421,0.60065,1.14765,0.00136994,0.00136994,0.00136994
20,176.574,0.39414,0.31711,0.98256,0.91335,0.68965,0.83904,0.65733,0.64108,0.59998,1.16962,0.00135344,0.00135344,0.00135344
21,185.244,0.36645,0.2987,0.96919,0.84078,0.7269,0.80151,0.64351,0.60482,0.59476,1.15115,0.00133693,0.00133693,0.00133693
22,193.86,0.39634,0.31827,0.98203,0.91364,0.68242,0.79518,0.62979,0.62125,0.60325,1.14038,0.00132043,0.00132043,0.00132043
23,202.488,0.37811,0.30924,0.98095,0.83589,0.75,0.82862,0.63915,0.64877,0.59648,1.168,0.00130393,0.00130393,0.00130393
24,211.13,0.37033,0.31063,0.97558,0.80147,0.7762,0.81968,0.63356,0.6486,0.611,1.16965,0.00128742,0.00128742,0.00128742
25,219.759,0.39408,0.31841,0.98202,0.8978,0.73316,0.82338,0.62881,0.63712,0.57217,1.15357,0.00127092,0.00127092,0.00127092
26,228.468,0.38976,0.31398,0.98488,0.89812,0.71445,0.82451,0.63346,0.63007,0.63424,1.14203,0.00125442,0.00125442,0.00125442
27,237.132,0.3885,0.31526,0.97078,0.8673,0.7701,0.82973,0.6276,0.62227,0.63839,1.1368,0.00123791,0.00123791,0.00123791
28,245.876,0.37591,0.30268,0.97581,0.81984,0.74694,0.81222,0.62512,0.62554,0.64829,1.15241,0.00122141,0.00122141,0.00122141
29,254.705,0.37765,0.3097,0.97599,0.77835,0.77136,0.80642,0.63018,0.61086,0.61565,1.13939,0.00120491,0.00120491,0.00120491
30,263.587,0.37889,0.31054,0.97689,0.78393,0.73216,0.81667,0.62468,0.62098,0.65033,1.13944,0.0011884,0.0011884,0.0011884
31,272.435,0.37324,0.29956,0.97251,0.86848,0.7434,0.82571,0.64323,0.62246,0.60836,1.12142,0.0011719,0.0011719,0.0011719
32,281.393,0.38367,0.30608,0.98087,0.80035,0.69451,0.77777,0.6042,0.64133,0.67813,1.16506,0.0011554,0.0011554,0.0011554
33,290.041,0.37559,0.31152,0.97295,0.91513,0.7202,0.81269,0.63584,0.6343,0.60414,1.14198,0.00113889,0.00113889,0.00113889
34,298.668,0.3788,0.30099,0.98214,0.91878,0.75476,0.84036,0.66623,0.60974,0.60119,1.12989,0.00112239,0.00112239,0.00112239
35,307.349,0.37236,0.30377,0.97421,0.89848,0.72789,0.83255,0.63946,0.61466,0.60767,1.14818,0.00110589,0.00110589,0.00110589
36,316.049,0.36613,0.29065,0.9693,0.91347,0.69686,0.81172,0.6504,0.62042,0.65677,1.14442,0.00108938,0.00108938,0.00108938
37,324.72,0.36444,0.29405,0.96906,0.85644,0.71589,0.81071,0.62795,0.62326,0.59833,1.14985,0.00107288,0.00107288,0.00107288
38,333.55,0.35019,0.28245,0.96651,0.80405,0.76725,0.81976,0.63372,0.59498,0.59639,1.12067,0.00105638,0.00105638,0.00105638
39,342.342,0.36254,0.28628,0.96294,0.90669,0.68445,0.81205,0.62924,0.63164,0.65291,1.15299,0.00103987,0.00103987,0.00103987
40,350.983,0.36337,0.29155,0.96746,0.8347,0.76047,0.80958,0.63241,0.61036,0.61361,1.14779,0.00102337,0.00102337,0.00102337
41,359.599,0.36988,0.29338,0.97466,0.79865,0.7824,0.82026,0.63241,0.62988,0.61086,1.14745,0.00100687,0.00100687,0.00100687
42,368.284,0.35029,0.28816,0.9586,0.86784,0.74106,0.81361,0.61958,0.62205,0.54033,1.16248,0.000990365,0.000990365,0.000990365
43,376.943,0.35497,0.28985,0.9704,0.80209,0.76721,0.81597,0.61519,0.64332,0.60296,1.17649,0.000973861,0.000973861,0.000973861
44,385.591,0.36121,0.29397,0.96971,0.81941,0.73356,0.83518,0.63953,0.62381,0.61416,1.15767,0.000957358,0.000957358,0.000957358
45,394.215,0.35657,0.28742,0.96291,0.82911,0.75993,0.81315,0.60353,0.61537,0.58887,1.14997,0.000940855,0.000940855,0.000940855
46,402.937,0.34693,0.27788,0.96324,0.87876,0.74656,0.84656,0.64596,0.60904,0.58597,1.13046,0.000924352,0.000924352,0.000924352
47,411.586,0.34438,0.27345,0.95916,0.86079,0.74403,0.83181,0.63689,0.61004,0.56736,1.13364,0.000907848,0.000907848,0.000907848
48,420.245,0.35726,0.28679,0.96394,0.89394,0.73797,0.8259,0.62088,0.63643,0.5761,1.1438,0.000891345,0.000891345,0.000891345
49,428.991,0.35226,0.28617,0.96641,0.847,0.75278,0.84415,0.64799,0.62234,0.56438,1.14672,0.000874842,0.000874842,0.000874842
50,437.576,0.36156,0.28732,0.96246,0.85761,0.77678,0.85482,0.66157,0.60802,0.58593,1.13404,0.000858338,0.000858338,0.000858338
51,446.245,0.3457,0.28363,0.95783,0.82855,0.7753,0.85289,0.6576,0.59834,0.56596,1.12526,0.000841835,0.000841835,0.000841835
52,454.887,0.35031,0.28569,0.96392,0.90367,0.68514,0.8358,0.63892,0.62081,0.61366,1.14236,0.000825332,0.000825332,0.000825332
53,463.542,0.34169,0.27683,0.95485,0.89638,0.68243,0.84024,0.63634,0.59344,0.58124,1.12373,0.000808828,0.000808828,0.000808828
54,472.227,0.3415,0.27213,0.94769,0.8113,0.74133,0.8137,0.62873,0.62271,0.60977,1.14908,0.000792325,0.000792325,0.000792325
55,480.877,0.34365,0.27436,0.95753,0.84119,0.74401,0.8159,0.64305,0.59757,0.61023,1.13469,0.000775822,0.000775822,0.000775822
56,489.555,0.34144,0.27459,0.9584,0.77396,0.7971,0.83166,0.64163,0.60925,0.57818,1.14894,0.000759318,0.000759318,0.000759318
57,498.543,0.32727,0.2657,0.9502,0.83537,0.75377,0.82573,0.64069,0.61099,0.56407,1.13658,0.000742815,0.000742815,0.000742815
58,507.43,0.33372,0.26888,0.958,0.81263,0.73152,0.80511,0.62889,0.61502,0.61264,1.14901,0.000726312,0.000726312,0.000726312
59,516.351,0.33249,0.26292,0.94655,0.87824,0.73519,0.84649,0.65945,0.59852,0.56704,1.1221,0.000709809,0.000709809,0.000709809
60,525.001,0.33152,0.2679,0.95234,0.82437,0.77073,0.81656,0.64566,0.59549,0.6275,1.11801,0.000693305,0.000693305,0.000693305
61,533.608,0.32323,0.26482,0.95933,0.85132,0.75059,0.80255,0.63488,0.5817,0.60047,1.11101,0.000676802,0.000676802,0.000676802
