epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.63007,0.35065,0.28123,0.95588,0.87783,0.82051,0.86694,0.66416,0.60858,0.59515,1.12815,0.000547118,0.000547118,0.000547118
2,18.5634,0.37909,0.30496,0.97366,0.85918,0.77963,0.83492,0.64073,0.62964,0.63479,1.13963,0.00109187,0.00109187,0.00109187
3,27.2959,0.42789,0.34325,0.99962,0.78663,0.8013,0.81119,0.60392,0.66537,0.64612,1.18152,0.00162561,0.00162561,0.00162561
4,36.0344,0.42975,0.35539,1.01184,0.78696,0.8169,0.81363,0.63167,0.62964,0.6714,1.14125,0.00161749,0.00161749,0.00161749
5,44.8797,0.45086,0.37396,1.02616,0.888,0.71869,0.81278,0.6098,0.68434,0.63556,1.20172,0.00160099,0.00160099,0.00160099
6,53.5381,0.44784,0.37534,1.01729,0.87066,0.74642,0.82442,0.62724,0.66798,0.68727,1.17064,0.00158448,0.00158448,0.00158448
7,62.2095,0.47053,0.39193,1.03067,0.74,0.71976,0.78587,0.61481,0.66525,0.65549,1.18746,0.00156798,0.00156798,0.00156798
8,70.9227,0.47535,0.40212,1.02104,0.85708,0.70526,0.82879,0.63476,0.66109,0.64309,1.17502,0.00155148,0.00155148,0.00155148
9,79.6312,0.47622,0.39111,1.04229,0.82989,0.76689,0.81928,0.62971,0.66795,0.62415,1.17468,0.00153497,0.00153497,0.00153497
10,88.4016,0.47882,0.39078,1.02502,0.84598,0.77429,0.8276,0.63541,0.6351,0.59999,1.14021,0.00151847,0.00151847,0.00151847
11,97.1307,0.44939,0.36803,1.00988,0.87749,0.69276,0.84158,0.63379,0.63743,0.66609,1.1541,0.00150197,0.00150197,0.00150197
12,105.852,0.44651,0.37301,1.01757,0.82675,0.7765,0.83093,0.61893,0.65684,0.63568,1.1632,0.00148546,0.00148546,0.00148546
13,114.61,0.44029,0.36775,1.01069,0.83717,0.78687,0.83481,0.62965,0.63263,0.62057,1.13737,0.00146896,0.00146896,0.00146896
14,123.511,0.45845,0.38163,1.02685,0.85919,0.74547,0.81126,0.60706,0.67901,0.67821,1.17833,0.00145246,0.00145246,0.00145246
15,132.474,0.44719,0.36917,1.01946,0.86531,0.75624,0.83471,0.63102,0.64557,0.6829,1.15172,0.00143595,0.00143595,0.00143595
16,141.34,0.45953,0.37433,1.02826,0.8065,0.76,0.8269,0.61539,0.64415,0.64782,1.14597,0.00141945,0.00141945,0.00141945
17,150.015,0.44768,0.37357,1.02353,0.8571,0.76764,0.83764,0.61088,0.68062,0.64129,1.17413,0.00140295,0.00140295,0.00140295
18,158.703,0.46141,0.39123,1.03728,0.80149,0.7645,0.80476,0.62042,0.64683,0.63588,1.16276,0.00138644,0.00138644,0.00138644
19,167.328,0.47505,0.39263,1.02511,0.85242,0.74962,0.84073,0.62335,0.63557,0.63628,1.12816,0.00136994,0.00136994,0.00136994
20,176.096,0.4605,0.38731,1.0251,0.74577,0.82929,0.80992,0.60968,0.64979,0.60072,1.15613,0.00135344,0.00135344,0.00135344
21,184.852,0.44366,0.36628,1.01862,0.81167,0.81474,0.84728,0.63242,0.65957,0.60878,1.16075,0.00133693,0.00133693,0.00133693
22,193.604,0.4679,0.38371,1.03134,0.71832,0.83549,0.81555,0.62994,0.63067,0.63522,1.15274,0.00132043,0.00132043,0.00132043
