epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8999,0.81136,1.92259,1.31293,0.93716,0.34639,0.43452,0.30419,0.944,2.04946,1.58408,0.000547118,0.000547118,0.000547118
2,25.9333,0.84961,1.35894,1.31565,0.8082,0.34779,0.49452,0.3165,1.1665,1.88647,1.75433,0.00109842,0.00109842,0.00109842
3,35.7002,0.87677,1.24119,1.32805,0.52638,0.46299,0.4761,0.29358,1.18442,1.98794,1.81111,0.00164532,0.00164532,0.00164532
4,46.8173,0.86906,1.14234,1.33979,0.58806,0.45912,0.51964,0.33074,1.16299,1.50106,1.72909,0.0016472,0.0016472,0.0016472
5,58.3467,0.88179,1.11601,1.33636,0.64011,0.61093,0.60066,0.39525,1.01381,1.24745,1.54988,0.00164059,0.00164059,0.00164059
6,69.6809,0.83692,1.00787,1.31365,0.65426,0.64652,0.6841,0.45551,1.04925,1.13351,1.55335,0.00163399,0.00163399,0.00163399
7,80.9996,0.8345,0.96579,1.28814,0.63885,0.55201,0.6085,0.39753,1.07633,1.2551,1.56276,0.00162739,0.00162739,0.00162739
8,92.2927,0.83459,0.94198,1.28436,0.69021,0.6578,0.66072,0.46848,0.91271,1.00744,1.4498,0.00162079,0.00162079,0.00162079
9,103.6,0.81049,0.90271,1.28684,0.68978,0.66964,0.71208,0.47894,1.01292,1.13948,1.50346,0.00161419,0.00161419,0.00161419
10,114.845,0.79092,0.86361,1.26261,0.77677,0.69395,0.74389,0.4949,1.01634,1.00184,1.54258,0.00160759,0.00160759,0.00160759
11,126.153,0.75958,0.79097,1.2421,0.71878,0.6928,0.75168,0.50528,0.92054,0.89194,1.46848,0.00160099,0.00160099,0.00160099
12,138.525,0.74456,0.80447,1.2421,0.7598,0.61317,0.68806,0.47924,0.90157,0.91411,1.43265,0.00159439,0.00159439,0.00159439
13,149.7,0.76982,0.78749,1.25169,0.70156,0.61632,0.70582,0.46119,0.9749,1.13155,1.50364,0.00158778,0.00158778,0.00158778
