epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1783,0.69379,1.51131,1.19485,0.67448,0.53485,0.60645,0.4335,0.85054,1.45602,1.47254,0.000551074,0.000551074,0.000551074
2,40.6494,0.72315,1.00066,1.20426,0.80111,0.52703,0.62098,0.4391,0.82115,1.45937,1.42778,0.00108483,0.00108483,0.00108483
3,58.8181,0.75905,0.89217,1.22643,0.60536,0.5303,0.59293,0.36593,0.93864,1.5016,1.55301,0.00159658,0.00159658,0.00159658
4,76.768,0.72597,0.80103,1.20893,0.86009,0.60384,0.75382,0.52587,0.77611,0.83664,1.40009,0.00156798,0.00156798,0.00156798
5,94.7208,0.69188,0.73304,1.18261,0.62399,0.76919,0.6884,0.5394,0.61167,0.7371,1.22801,0.00153497,0.00153497,0.00153497
6,112.884,0.66894,0.68807,1.16466,0.85455,0.69765,0.75943,0.58761,0.62469,0.71855,1.2564,0.00150197,0.00150197,0.00150197
7,130.84,0.63744,0.64344,1.14644,0.63784,0.77222,0.72344,0.59335,0.5767,0.61966,1.1916,0.00146896,0.00146896,0.00146896
8,148.671,0.63094,0.64089,1.147,0.80173,0.69997,0.72887,0.58347,0.55865,0.61267,1.16797,0.00143595,0.00143595,0.00143595
9,166.94,0.59847,0.60588,1.12107,0.8001,0.77222,0.77051,0.6346,0.49503,0.69603,1.10144,0.00140295,0.00140295,0.00140295
10,187.846,0.59006,0.57854,1.11026,0.60829,0.6969,0.7041,0.59651,0.52195,0.59388,1.16374,0.00136994,0.00136994,0.00136994
11,206.698,0.57263,0.55787,1.11472,0.75513,0.78788,0.81667,0.65891,0.49507,0.61515,1.11598,0.00133693,0.00133693,0.00133693
12,228.14,0.57799,0.55614,1.10773,0.80386,0.71631,0.72558,0.60617,0.47609,0.57932,1.09107,0.00130393,0.00130393,0.00130393
13,249.69,0.53997,0.53425,1.08779,0.75706,0.79055,0.80609,0.66341,0.50812,0.59274,1.10525,0.00127092,0.00127092,0.00127092
14,272.639,0.54361,0.51763,1.08731,0.73917,0.74141,0.76254,0.649,0.44845,0.54088,1.05779,0.00123791,0.00123791,0.00123791
15,296.432,0.5342,0.52622,1.08262,0.78706,0.78169,0.7914,0.65594,0.49767,0.53542,1.10812,0.00120491,0.00120491,0.00120491
16,318.289,0.51345,0.49305,1.0709,0.8681,0.6806,0.78102,0.67154,0.43025,0.50908,1.0369,0.0011719,0.0011719,0.0011719
17,340.382,0.51291,0.48053,1.06807,0.80056,0.73364,0.77271,0.64284,0.43884,0.53478,1.03807,0.00113889,0.00113889,0.00113889
18,362.845,0.51412,0.48715,1.06468,0.7886,0.72662,0.78416,0.64356,0.4566,0.59114,1.06725,0.00110589,0.00110589,0.00110589
19,382.651,0.50029,0.47254,1.06196,0.79386,0.83038,0.8138,0.68965,0.41901,0.50043,1.01748,0.00107288,0.00107288,0.00107288
20,402.226,0.49671,0.45281,1.05477,0.87576,0.75404,0.82917,0.70773,0.39697,0.51553,1.00425,0.00103987,0.00103987,0.00103987
21,421.603,0.47866,0.44909,1.04821,0.86949,0.70697,0.79006,0.67065,0.45062,0.51461,1.03078,0.00100687,0.00100687,0.00100687
22,440.43,0.49131,0.45851,1.05006,0.73868,0.79091,0.79108,0.67769,0.41189,0.52268,1.02121,0.000973861,0.000973861,0.000973861
